address_ss58,airdrop_amount,total_dot,snapshot_dot,nompool_dot,crowdloan_dot,num_criteria,criteria1,criteria11,criteria12,criteria2,criteria3,criteria4,criteria5,criteria6
13EvHZoEcmdoGSeqEyqJcQcdbRwL15exskZfKzwftnxATLzf,1138,30057.9626696894,30057.9626696894,0,0,5,1,0,1,1,1,1,0,0
128sq7FMkiK1f2Z8pZDfkWsgtZFfiXwRpqKmo5MPoLip8fsf,1138,8726.3303295295,8726.3303295295,0,0,5,1,0,1,1,1,1,0,0
14kWuAoB8JkgZLh8myrCfPc8bVewBsfxQSmqA2Vqn8uw2eJU,1138,13877.0479041313,13877.0479041313,0,0,5,1,0,1,1,1,1,0,0
14QStHY4PDhSZC4koygZKAacfUFzLc3aJFdSxiBSwRcon7eL,1138,12506.5317223844,12506.5317223844,0,0,5,1,0,1,1,1,1,0,0
12eECazGgDLf1nPMje1KEfReTCWB9gB142MzwX6cmcyhAiVg,1138,10011.0837209825,10011.0837209825,0,0,5,1,0,1,1,1,1,0,0
12uvaFnS1HJjq4L71VCFP5fHX3znkQvS46L7TBvFhGyP3X96,1138,95701.4180995936,95701.4180995936,0,0,5,1,0,1,1,1,1,0,0
14TNabR4KesKsYrvnmZQ1qdc4PSNs2s7bKjXj7DCpoHGzwaV,1127,22000.3318907307,12000.3318907307,0,10000,6,1,1,1,1,0,0,1,1
15VHkTcRe7iDm5JKmTvGNpJd7Lqs6m6Cz3viKTZmMQ6SJv8z,1127,29265.777245215402,10682.7772452154,51,18532,6,1,1,1,1,0,0,1,1
1265kv9NNFXdfi6WSSW811BAkNAHHQrNvAoiuD7Na5QSL5bh,1111,11105.8713424217,11105.8713424217,0,0,4,1,0,1,0,0,1,1,0
12hAtDZJGt4of3m2GqZcUCVAjZPALfvPwvtUTFZPQUbdX1Ud,1111,35598.1569102306,10687.1569102306,0,24911,4,1,0,1,0,0,1,1,0
12sNU8BXivMj1xQmcd4T39ugCyHjmhir8jkPqfAw5ZDESrx4,1111,8832.5075618575,8832.5075618575,0,0,4,1,0,1,0,0,1,1,0
1FiSH7v8QrgDkgrq4jPN9K3kyPF7V8K9bakjtUYYfSxz1Fc,1110,5832.694044384,149.694044384,0,5683,5,1,1,1,0,0,0,1,1
1X69TinqunHrtU5FLARB68rzUaotK2yTwD1QCRnqYgShKpG,1110,5001.2510897655,1.0408519933,5000.2102377722,0,4,1,0,1,1,0,1,0,0
13MTX3Qnbcb4xoRyJSojeKCpC9EUXE73eqNXegTXDT7UW36b,1110,14289.7412858526,289.7412858526,0,14000,5,1,1,1,0,0,0,1,1
14ZsfN1vAC5LCHeMK2VNERCHsief13QonPjEyCMwe1Mp3npn,1110,18331.8725003555,18331.8725003555,0,0,4,1,0,1,1,0,1,0,0
16ABBn28z6ibAP5sHbM6vsfkTkbKvP3a7RxCMb81AH4QiYrs,1110,42714.8749397222,288.6877664187,42426.1871733035,0,4,1,0,1,1,0,1,0,0
16hTLCFkUFq8XE3jchmhouLMmLRDHPUPNnR3WMsGqVZ3v7Ya,1110,5012.578786694,5.578786694,0,5007,5,1,1,1,0,0,0,1,1
126TsE8Dpb5w78EJYnfWeH3cetAuTnrPUEVcuSXc3DSQJKzy,1078,5757.4362570908,5757.4362570908,0,0,6,1,1,1,1,1,0,1,0
14ak965X9GQqZdmF3eTLdjNcySnGzCkMBhUDDHyM2nzUVhFz,1078,11514.2853185145,11514.2853185145,0,0,6,1,1,1,1,1,0,1,0
